Rank,nom,Score
1,Drame,2.3430904252507347
2,Tsobgny,1.7366091855753993
3,Muadi,1.0690954887432806
4,Prugnieres,0.6300114953149698
5,Cisse,0.36373451138804835
6,Mbaye,0.07479389711376175
7,Zimmerman,-0.11229737784741137
8,Toure,-0.1322738991496566
9,Constant,-0.3058755075865846
10,Fofana,-0.3549858058489176
11,Yale,-0.3961734943018692
12,Timera,-0.44662476073265295

